"symbol","date","open","high","low","close","volume"
"CNFR","2015-08-13","9.75","10.6","9.75","10.6","530400"
"CNFR","2015-08-14","10.4","10.69","10.4","10.5","116200"
"CNFR","2015-08-17","10.5","10.68","10.41","10.5","35400"
"CNFR","2015-08-18","10.45","10.51","10.38","10.5","21600"
"CNFR","2015-08-19","10.45","10.68","9.82","10.47","119300"
"CNFR","2015-08-20","10.51","10.51","9.67","10.4","32100"
"CNFR","2015-08-21","10.5","10.52","10.25","10.42","22100"
"CNFR","2015-08-24","10.0","10.38","9.5","10.24","31800"
"CNFR","2015-08-25","10.5","10.5","10.19","10.35","55000"
"CNFR","2015-08-26","10.2","10.95","10.2","10.45","30700"
"CNFR","2015-08-27","10.49","10.49","10.25","10.252","1700"
"CNFR","2015-08-28","10.32","10.39","9.94","10.395","15300"
"CNFR","2015-08-31","10.21","10.23","9.81","9.95","5400"
"CNFR","2015-09-01","9.84","10.19","9.74","9.95","11500"
"CNFR","2015-09-02","9.78","10.21","9.78","10.12","2100"
"CNFR","2015-09-03","9.74","10.24","9.73","10.24","7000"
"CNFR","2015-09-04","10.06","10.2","9.81","10.11","3600"
"CNFR","2015-09-08","9.8","10.34","9.8","10.01","10600"
"CNFR","2015-09-09","10.08","10.13","9.84","9.87","4100"
"CNFR","2015-09-10","9.8","9.94","9.8","9.809","11200"
"CNFR","2015-09-11","9.95","10.0","9.81","9.98","11700"
"CNFR","2015-09-14","9.86","10.4","9.81","10.36","60200"
"CNFR","2015-09-15","9.9","10.24","9.85","10.0","37600"
"CNFR","2015-09-16","9.99","10.06","9.76","9.84","9400"
"CNFR","2015-09-17","10.0","10.2","9.75","10.0","42100"
"CNFR","2015-09-18","9.89","10.39","9.89","10.03","39000"
"CNFR","2015-09-21","10.19","10.31","9.75","9.76","13400"
"CNFR","2015-09-22","9.79","9.92","9.75","9.75","10700"
"CNFR","2015-09-23","9.78","10.3","9.75","9.81","14200"
"CNFR","2015-09-24","9.76","10.3","9.75","9.812","10800"
"CNFR","2015-09-25","9.9","10.3","9.75","9.91","9300"
"CNFR","2015-09-28","9.95","10.3","9.77","10.11","19800"
"CNFR","2015-09-29","9.9","10.19","9.72","9.83","44400"
"CNFR","2015-09-30","9.96","9.96","9.75","9.75","53600"
"CNFR","2015-10-01","9.5","9.85","9.03","9.66","70800"
"CNFR","2015-10-02","9.45","9.65","8.51","9.27","49900"
"CNFR","2015-10-05","9.25","9.97","9.25","9.95","23600"
"CNFR","2015-10-06","9.95","9.95","9.56","9.9","1900"
"CNFR","2015-10-07","9.96","9.96","9.55","9.78","28800"
"CNFR","2015-10-08","9.85","9.89","9.63","9.75","7000"
"CNFR","2015-10-09","9.86","9.93","9.75","9.8","9600"
"CNFR","2015-10-12","9.75","9.96","9.11","9.34","39100"
"CNFR","2015-10-13","9.4","9.4","8.62","9.0","49700"
"CNFR","2015-10-14","9.0","9.02","8.85","8.97","55100"
"CNFR","2015-10-15","8.98","9.18","8.77","9.0","79000"
"CNFR","2015-10-16","8.84","9.14","8.71","9.14","54700"
"CNFR","2015-10-19","9.08","9.34","8.91","9.34","25200"
"CNFR","2015-10-20","9.27","9.47","9.2","9.4","57000"
"CNFR","2015-10-21","9.47","9.48","9.3","9.45","9500"
"CNFR","2015-10-22","9.49","10.0","9.4","9.7","25300"
"CNFR","2015-10-23","9.01","9.9","9.01","9.7","52300"
"CNFR","2015-10-26","9.82","9.87","9.51","9.66","30700"
"CNFR","2015-10-27","9.71","9.71","8.99","9.39","114100"
"CNFR","2015-10-28","9.4","9.63","9.05","9.625","23500"
"CNFR","2015-10-29","9.5","9.64","9.3","9.6","10600"
"CNFR","2015-10-30","9.4","9.62","9.25","9.56","27100"
"CNFR","2015-11-02","9.63","9.63","9.26","9.56","35100"
"CNFR","2015-11-03","9.64","9.64","9.32","9.54","23900"
"CNFR","2015-11-04","9.61","9.72","9.32","9.35","12800"
"CNFR","2015-11-05","9.53","9.53","9.06","9.1","19500"
"CNFR","2015-11-06","9.19","9.4","9.19","9.38","11900"
"CNFR","2015-11-09","9.39","9.51","9.15","9.21","18500"
"CNFR","2015-11-10","9.41","9.81","9.23","9.59","20100"
"CNFR","2015-11-11","9.44","9.71","9.16","9.35","12100"
"CNFR","2015-11-12","9.36","9.53","9.11","9.25","18700"
"CNFR","2015-11-13","9.11","9.37","9.11","9.195","9600"
"CNFR","2015-11-16","9.58","9.58","9.12","9.19","14700"
"CNFR","2015-11-17","9.2","9.46","8.48","9.245","21800"
"CNFR","2015-11-18","9.39","9.39","8.76","9.13","36800"
"CNFR","2015-11-19","9.01","9.29","9.01","9.14","27500"
"CNFR","2015-11-20","9.02","9.26","9.01","9.1","25100"
"CNFR","2015-11-23","9.1","9.3","9.1","9.1","20000"
"CNFR","2015-11-24","9.11","9.28","9.0","9.275","26600"
"CNFR","2015-11-25","9.21","9.92","9.11","9.78","43300"
"CNFR","2015-11-27","9.75","10.09","9.16","10.09","12400"
"CNFR","2015-11-30","9.82","9.89","9.34","9.79","12200"
"CNFR","2015-12-01","9.74","9.78","9.5","9.68","11200"
"CNFR","2015-12-02","9.58","9.79","9.28","9.43","35100"
"CNFR","2015-12-03","9.36","9.61","9.22","9.42","67800"
"CNFR","2015-12-04","9.25","10.05","9.09","9.78","64400"
"CNFR","2015-12-07","9.71","10.05","9.44","9.94","28400"
"CNFR","2015-12-08","9.79","10.03","9.51","9.67","24600"
"CNFR","2015-12-09","9.55","10.03","9.45","9.57","35600"
"CNFR","2015-12-10","9.55","9.85","9.36","9.83","32500"
"CNFR","2015-12-11","9.56","9.7","9.45","9.48","11800"
"CNFR","2015-12-14","9.66","10.05","9.64","9.81","31300"
"CNFR","2015-12-15","9.69","10.03","9.52","9.82","38300"
"CNFR","2015-12-16","9.55","9.85","9.47","9.635","16400"
"CNFR","2015-12-17","9.63","10.05","9.11","9.77","30100"
"CNFR","2015-12-18","9.54","9.9","8.25","9.25","112100"
"CNFR","2015-12-21","9.19","9.26","8.92","8.94","20400"
"CNFR","2015-12-22","8.91","9.96","8.79","9.45","30900"
"CNFR","2015-12-23","9.43","9.47","8.87","9.47","25300"
"CNFR","2015-12-24","9.23","9.37","9.0","9.13","9500"
"CNFR","2015-12-28","9.13","9.33","9.0","9.02","21000"
"CNFR","2015-12-29","9.12","9.33","9.1","9.22","17000"
"CNFR","2015-12-30","9.23","9.24","9.08","9.14","19500"
"CNFR","2015-12-31","9.15","9.4","9.03","9.27","23100"
"CNFR","2016-01-04","9.12","9.32","9.0","9.22","26800"
"CNFR","2016-01-05","9.2","9.31","9.1","9.16","20500"
"CNFR","2016-01-06","9.11","9.19","9.06","9.08","10100"
"CNFR","2016-01-07","9.0","9.15","8.49","8.76","21700"
"CNFR","2016-01-08","8.73","8.9","8.48","8.6","15600"
"CNFR","2016-01-11","8.84","8.9","8.41","8.43","20600"
"CNFR","2016-01-12","8.54","8.87","7.85","8.25","39900"
"CNFR","2016-01-13","8.2","8.61","7.96","8.25","26300"
"CNFR","2016-01-14","8.24","8.3","8.2","8.26","12300"
"CNFR","2016-01-15","8.24","8.24","7.94","8.17","21300"
"CNFR","2016-01-19","8.29","8.7","6.75","7.56","55000"
"CNFR","2016-01-20","7.78","7.78","7.08","7.5","16900"
"CNFR","2016-01-21","7.5","8.4","7.5","7.74","29000"
"CNFR","2016-01-22","8.24","8.33","7.62","8.23","26100"
"CNFR","2016-01-25","8.27","8.27","7.76","8.11","8400"
"CNFR","2016-01-26","8.13","8.13","7.6","7.82","20000"
"CNFR","2016-01-27","8.01","8.16","7.6","7.78","19400"
"CNFR","2016-01-28","7.76","7.87","7.08","7.72","39100"
"CNFR","2016-01-29","7.65","7.78","7.21","7.71","16700"
"CNFR","2016-02-01","7.74","7.87","6.83","7.78","38300"
"CNFR","2016-02-02","7.69","8.0","7.57","8.0","44500"
"CNFR","2016-02-03","7.93","8.08","7.55","8.08","9100"
"CNFR","2016-02-04","8.05","8.12","7.33","7.74","10900"
"CNFR","2016-02-05","7.8","7.9","7.33","7.8","14200"
"CNFR","2016-02-08","7.71","7.71","7.53","7.53","1900"
"CNFR","2016-02-09","8.17","8.22","7.56","7.84","41700"
"CNFR","2016-02-10","7.85","7.91","7.75","7.84","6500"
"CNFR","2016-02-11","7.02","7.13","6.0","6.57","114100"
"CNFR","2016-02-12","6.82","6.9","6.39","6.54","119900"
"CNFR","2016-02-16","6.63","7.01","6.34","6.37","43600"
"CNFR","2016-02-17","6.47","6.72","6.08","6.4","66000"
"CNFR","2016-02-18","6.57","6.57","6.25","6.47","49200"
"CNFR","2016-02-19","6.45","6.76","6.34","6.43","154700"
"CNFR","2016-02-22","6.59","6.65","6.3","6.35","37900"
"CNFR","2016-02-23","6.11","6.4","6.01","6.07","82100"
"CNFR","2016-02-24","5.95","6.46","5.32","6.22","139100"
"CNFR","2016-02-25","6.34","6.54","5.85","6.28","150900"
"CNFR","2016-02-26","6.25","6.4","5.53","6.04","49500"
"CNFR","2016-02-29","6.01","6.27","5.82","6.25","35100"
"CNFR","2016-03-01","6.23","6.7","6.18","6.53","38400"
"CNFR","2016-03-02","6.35","7.17","6.35","6.955","48300"
"CNFR","2016-03-03","6.88","6.88","6.76","6.82","16600"
"CNFR","2016-03-04","6.87","6.99","6.76","6.92","7100"
"CNFR","2016-03-07","6.85","6.91","6.53","6.57","32600"
"CNFR","2016-03-08","6.87","7.2","6.39","6.51","44900"
"CNFR","2016-03-09","6.03","6.8","6.03","6.36","15000"
"CNFR","2016-03-10","6.46","6.5","6.21","6.3","12100"
"CNFR","2016-03-11","6.32","6.35","6.23","6.31","7500"
"CNFR","2016-03-14","6.33","6.99","6.19","6.84","37000"
"CNFR","2016-03-15","6.59","6.79","6.0","6.74","21100"
"CNFR","2016-03-16","6.69","7.03","6.61","6.94","12000"
"CNFR","2016-03-17","6.87","7.08","6.62","6.91","14900"
"CNFR","2016-03-18","6.7","7.69","6.7","6.95","45000"
"CNFR","2016-03-21","6.9","7.21","6.5","6.69","21900"
"CNFR","2016-03-22","6.61","6.97","6.31","6.56","28800"
"CNFR","2016-03-23","6.57","6.88","6.4","6.84","23900"
"CNFR","2016-03-24","6.72","7.48","6.41","7.18","26100"
"CNFR","2016-03-28","7.25","7.53","6.75","7.04","18800"
"CNFR","2016-03-29","7.05","7.49","6.38","6.57","19200"
"CNFR","2016-03-30","6.63","7.43","6.63","6.83","6200"
"CNFR","2016-03-31","6.85","6.91","6.45","6.53","10300"
