"symbol","date","open","high","low","close","volume"
"AINC","2014-11-13","56.0","58.0","54.0","56.2","150936"
"AINC","2014-11-14","57.0","65.0","56.2","62.85","125413"
"AINC","2014-11-17","65.01","73.26","64.11","70.76","58500"
"AINC","2014-11-18","72.68","99.0","72.45","95.7","143200"
"AINC","2014-11-19","94.01","111.87","92.57","98.0","182000"
"AINC","2014-11-20","97.82","98.54","88.0","96.05","126300"
"AINC","2014-11-21","93.55","106.69","92.85","104.52","44100"
"AINC","2014-11-24","108.29","131.01","108.29","127.0","127300"
"AINC","2014-11-25","125.05","128.0","116.0","117.1","80400"
"AINC","2014-11-26","121.88","126.0","115.48","119.0","22000"
"AINC","2014-11-28","124.5","124.5","118.75","118.75","2100"
"AINC","2014-12-01","112.25","116.0","112.0","113.06","22800"
"AINC","2014-12-02","112.3","114.0","108.01","111.66","32500"
"AINC","2014-12-03","109.56","110.0","104.0","104.0","22700"
"AINC","2014-12-04","107.38","107.38","95.46","97.97","35900"
"AINC","2014-12-05","95.35","95.95","86.01","92.75","28400"
"AINC","2014-12-08","93.6","93.6","87.48","88.22","11100"
"AINC","2014-12-09","88.95","90.58","87.74","89.93","17100"
"AINC","2014-12-10","88.95","89.88","87.26","87.35","19200"
"AINC","2014-12-11","90.0","90.0","85.97","85.97","9000"
"AINC","2014-12-12","85.46","91.0","85.0","87.5","15000"
"AINC","2014-12-15","86.65","89.25","83.92","83.92","16100"
"AINC","2014-12-16","84.03","89.74","84.03","87.1","4300"
"AINC","2014-12-17","84.79","89.99","84.77","89.2","9900"
"AINC","2014-12-18","88.09","89.19","86.73","87.0","5200"
"AINC","2014-12-19","89.5","92.85","89.5","90.29","41800"
"AINC","2014-12-22","92.95","94.27","90.75","90.75","17800"
"AINC","2014-12-23","92.98","92.98","86.77","87.0","8300"
"AINC","2014-12-24","90.0","90.5","89.5","89.5","8800"
"AINC","2014-12-26","89.54","91.37","89.15","91.37","2300"
"AINC","2014-12-29","90.1","91.99","90.0","90.77","3900"
"AINC","2014-12-30","90.78","93.98","90.25","90.25","8100"
"AINC","2014-12-31","89.45","95.47","89.45","94.0","9300"
"AINC","2015-01-02","94.0","95.75","93.94","95.75","2000"
"AINC","2015-01-05","94.0","97.0","94.0","94.5","8200"
"AINC","2015-01-06","94.36","96.33","94.0","94.0","9900"
"AINC","2015-01-07","94.0","97.0","93.0","96.7","8300"
"AINC","2015-01-08","97.0","102.0","97.0","98.0","7800"
"AINC","2015-01-09","99.79","102.0","99.01","102.0","2900"
"AINC","2015-01-12","102.19","104.03","102.19","103.2","6000"
"AINC","2015-01-13","105.0","105.75","102.25","105.46","10400"
"AINC","2015-01-14","105.12","105.5","101.29","104.9","5600"
"AINC","2015-01-15","103.05","105.5","103.0","103.0","6500"
"AINC","2015-01-16","103.05","104.5","102.61","104.5","4100"
"AINC","2015-01-20","102.55","105.25","102.55","105.25","5300"
"AINC","2015-01-21","104.03","106.99","104.0","106.25","4100"
"AINC","2015-01-22","106.86","109.3","106.0","108.0","7500"
"AINC","2015-01-23","108.0","114.0","108.0","112.75","6900"
"AINC","2015-01-26","112.44","116.97","110.0","114.0","2900"
"AINC","2015-01-27","112.5","113.12","110.0","110.0","3100"
"AINC","2015-01-28","112.0","114.0","110.1","110.15","4900"
"AINC","2015-01-29","110.03","120.0","110.03","118.98","4000"
"AINC","2015-01-30","125.0","147.35","125.0","145.0","7700"
"AINC","2015-02-02","144.7","155.0","139.29","155.0","11400"
"AINC","2015-02-03","157.58","157.58","147.0","150.0","8800"
"AINC","2015-02-04","149.0","149.7","147.5","149.7","3200"
"AINC","2015-02-05","147.5","156.25","147.5","156.25","5700"
"AINC","2015-02-06","150.0","153.0","147.5","147.5","3800"
