"symbol","date","open","high","low","close","volume"
"EROS","2013-11-13","11.1","11.4","10.75","10.88","1391000"
"EROS","2013-11-14","10.88","11.05","10.84","11.0","75800"
"EROS","2013-11-15","11.05","11.33","11.0","11.01","60600"
"EROS","2013-11-18","11.01","11.14","11.0","11.14","46400"
"EROS","2013-11-19","11.0","11.15","10.85","11.0","211400"
"EROS","2013-11-20","11.0","11.05","10.97","11.05","47600"
"EROS","2013-11-21","11.05","11.14","11.03","11.1","102200"
"EROS","2013-11-22","11.1","11.1","11.0","11.02","86900"
"EROS","2013-11-25","11.0","11.04","10.95","11.0","224000"
"EROS","2013-11-26","10.99","11.0","10.95","10.96","51000"
"EROS","2013-11-27","10.95","11.0","10.95","11.0","24400"
"EROS","2013-11-29","11.0","11.1","11.0","11.1","33200"
"EROS","2013-12-02","11.1","11.1","10.95","10.95","58400"
"EROS","2013-12-03","10.95","10.96","10.95","10.95","11000"
"EROS","2013-12-04","10.95","11.0","10.95","11.0","44700"
"EROS","2013-12-05","11.08","11.08","10.76","10.8","803200"
"EROS","2013-12-06","10.8","11.0","10.79","10.9","52800"
"EROS","2013-12-09","11.0","11.0","10.9","10.93","108500"
"EROS","2013-12-10","11.0","11.0","10.88","10.97","77400"
"EROS","2013-12-11","10.4","10.9","10.4","10.88","21300"
"EROS","2013-12-12","10.8","10.8","10.55","10.55","15700"
"EROS","2013-12-13","10.4","10.54","10.35","10.45","21600"
"EROS","2013-12-16","10.5","10.5","10.01","10.15","25600"
"EROS","2013-12-17","10.01","10.1","9.53","9.74","72400"
"EROS","2013-12-18","10.0","10.2","9.84","9.95","142900"
"EROS","2013-12-19","10.0","10.0","9.86","9.94","137200"
"EROS","2013-12-20","10.0","10.08","9.99","10.01","218700"
"EROS","2013-12-23","9.96","10.5","9.94","10.46","36400"
"EROS","2013-12-24","10.25","10.69","10.15","10.59","71100"
"EROS","2013-12-26","10.69","10.69","10.4","10.63","12900"
"EROS","2013-12-27","11.1","11.21","10.82","11.09","44500"
"EROS","2013-12-30","11.25","11.25","11.0","11.01","40300"
"EROS","2013-12-31","11.0","11.11","10.9","11.11","203300"
"EROS","2014-01-02","11.0","11.1","10.92","11.07","36300"
"EROS","2014-01-03","11.1","11.1","10.95","11.04","20200"
"EROS","2014-01-06","11.1","11.1","10.77","11.07","16400"
"EROS","2014-01-07","11.08","11.09","10.95","10.95","77600"
"EROS","2014-01-08","10.87","11.0","10.87","11.0","14100"
"EROS","2014-01-09","11.02","11.05","10.7","10.94","17000"
"EROS","2014-01-10","10.94","10.97","10.84","10.84","17200"
"EROS","2014-01-13","10.82","10.87","10.71","10.8","31300"
"EROS","2014-01-14","11.0","11.0","10.66","10.66","10000"
"EROS","2014-01-15","10.52","10.63","10.4","10.61","18500"
"EROS","2014-01-16","10.5","10.71","10.5","10.59","14000"
"EROS","2014-01-17","10.43","10.68","10.07","10.36","50000"
"EROS","2014-01-21","10.57","10.8","10.3","10.35","18000"
"EROS","2014-01-22","10.34","10.39","10.25","10.3","43100"
"EROS","2014-01-23","10.32","10.32","9.74","9.86","90600"
"EROS","2014-01-24","9.78","9.87","9.25","9.27","103300"
"EROS","2014-01-27","9.17","9.41","8.6","9.36","41500"
"EROS","2014-01-28","9.46","9.93","9.45","9.69","43500"
"EROS","2014-01-29","9.65","9.74","9.56","9.56","24200"
"EROS","2014-01-30","9.65","9.65","9.52","9.56","17800"
"EROS","2014-01-31","9.44","9.45","9.35","9.4","84900"
"EROS","2014-02-03","9.32","9.39","9.18","9.39","14300"
"EROS","2014-02-04","9.43","9.43","8.94","8.95","131300"
"EROS","2014-02-05","8.9","8.94","8.83","8.94","129700"
"EROS","2014-02-06","8.9","9.39","8.9","9.39","7300"
"EROS","2014-02-07","9.45","9.96","9.43","9.9","12500"
"EROS","2014-02-10","10.0","10.75","10.0","10.53","33900"
"EROS","2014-02-11","10.56","10.75","10.42","10.71","21200"
"EROS","2014-02-12","10.8","11.0","10.72","10.81","72100"
"EROS","2014-02-13","10.8","10.8","9.46","10.34","206600"
"EROS","2014-02-14","10.33","10.4","10.24","10.26","56600"
"EROS","2014-02-18","10.26","10.4","9.99","10.21","18400"
"EROS","2014-02-19","10.2","10.3","10.12","10.15","39500"
"EROS","2014-02-20","10.21","10.5","10.0","10.25","402100"
"EROS","2014-02-21","10.25","10.3","9.91","10.3","82800"
